31.573256,-110.741982,30120
32.089279,-110.625626,30896
31.584419,-109.513603,31011
31.58515,-109.51593,31013
31.583941,-109.51545,31014
31.588591,-109.510803,31010
32.161896,-110.614014,31188
32.163589,-110.615433,31190
32.164661,-110.614784,31192
32.165653,-110.614799,31193
32.16597,-110.615028,31194
32.166492,-110.615112,31196
32.16777,-110.61451,31197
32.169884,-110.613991,31199
32.171947,-110.613686,31200
32.166946,-110.615425,31202
32.187988,-110.577477,31203
32.174217,-110.612503,31201
32.187992,-110.577492,31204
32.18808,-110.577995,31206
32.188084,-110.578339,31207
32.187775,-110.578453,31209
32.187859,-110.578613,31211
32.187874,-110.578644,31212
32.187958,-110.578827,31213
32.188564,-110.579979,31216
32.187302,-110.58239,31218
32.187057,-110.582359,31219
32.187153,-110.584061,31220
32.187504,-110.586044,31221
32.187485,-110.586189,31222
32.187187,-110.586784,31224
32.186947,-110.586952,31225
32.16787,-110.614281,31230
32.183308,-110.606842,31231
32.21627,-110.586945,31232
32.186871,-110.582245,31233
32.189304,-110.576057,31235
32.18961,-110.574516,31238
32.192287,-110.569397,31239
32.192314,-110.569359,31240
32.186897,-110.582664,31241
32.156788,-109.452469,31339
31.759956,-111.532883,31663
31.834457,-110.350235,33189
31.837587,-110.351173,34246
31.718281,-110.354736,34260
32.014038,-110.647652,30748
31.346155,-110.253799,31367
32.010105,-109.359558,31340
31.583549,-109.515427,39399
31.58481,-109.513573,39400
31.58901,-109.508942,39401
31.590031,-109.50927,39402
31.592461,-109.506393,39403
32.191929,-110.569862,41783
32.18795,-110.577827,41782
32.188133,-110.581367,41780
32.187176,-110.5868,41781
32.185982,-110.588264,41778
32.172699,-110.613106,41776
32.168869,-110.614082,41775
32.165066,-110.614876,41774
32.16127,-110.61367,41773
32.160164,-110.611832,41772
32.156109,-110.610222,41768
32.152428,-110.609924,41757
31.473427,-110.300613,44289
31.470064,-110.298462,44290
31.47295,-110.296967,44296
31.478052,-110.29422,44304
31.476919,-110.296371,44350
31.58407,-109.515511,44511
31.583759,-109.515213,44512
31.58581,-109.513481,44513
31.588619,-109.51059,44514
31.589239,-109.508911,44515
31.83518,-110.355141,44546
31.833076,-110.350342,44547
31.835184,-110.356827,44548
31.836029,-110.3489,44549
32.163876,-110.615158,46555
31.836126,-110.349197,46890
31.837679,-110.352203,48319
31.833067,-110.349716,48320
31.836502,-110.357391,48318
31.58917,-109.509453,48346
31.58951,-109.509087,48347
31.58952,-109.508957,48348
31.834251,-110.354332,48422
31.346119,-110.254051,52181
32.00536,-109.356506,52182
32.14653,-109.434265,52206
31.473841,-110.300278,47027
31.835402,-110.349052,52322
31.835112,-110.356796,52358
32.005371,-109.356522,55005
32.325577,-109.484177,55014
31.346325,-110.253609,55015
31.587841,-109.512192,55058
31.587961,-109.512085,55059
31.588364,-109.509483,55060
31.591118,-109.509277,55061
31.591743,-109.508804,55062
31.547613,-110.355911,55100
31.489899,-110.305092,55135
31.515846,-110.326492,55136
32.161736,-110.614113,31187
32.161816,-110.615479,31189
32.164497,-110.614784,31191
32.166149,-110.615128,31195
32.168808,-110.614059,31198
32.157795,-110.609993,31185
32.187103,-110.586815,41779
32.185127,-110.58947,41777
32.159252,-110.611343,46548
32.159706,-110.61216,46549
32.159935,-110.613144,46550
32.161316,-110.613754,46551
32.162437,-110.614578,46554
32.167698,-110.614876,46557
32.170368,-110.614204,46558
31.478102,-110.295937,48162
31.58843,-109.510162,48344
31.588671,-109.509781,48345
