"site_id","season","may","jun","jul"
2,2013,12.4319839193936,18.5024832884471,22.4531613319151
1419,2013,15.8927097080215,20.0191666205724,21.8379032227301
1668,2013,16.3954677043423,22.3775834878286,26.34353234691
678,2013,11.9708065424235,16.477950044473,19.4865000247955
1915,2013,14.4651934999612,19.638599896431,23.8467258022678
2120,2013,16.3954677043423,22.3775834878286,26.34353234691
2119,2013,16.3954677043423,22.3775834878286,26.34353234691
1581,2013,14.6384999405953,20.2580333709717,24.8749516394831
5951,2013,12.6804516714427,18.5157165924708,21.3987903133515
5509,2013,12.6804516714427,18.5157165924708,21.3987903133515
2394,2013,12.6669030850453,18.4552833477656,21.3686451911926
2395,2013,12.6804516714427,18.5157165924708,21.3987903133515
1327,2013,14.0997096380039,19.6710333426793,24.100532362538
2623,2013,16.6750967118048,20.221333305041,22.2459195198551
5151,2013,17.0453709190892,21.1645334641139,22.4750323295593
5174,2013,18.1521613867052,23.761216656367,25.7826453024341
347,2013,16.1604677015735,20.1300666173299,21.7212418894614
1447,2013,16.7085645179595,19.8098500212034,21.7308387833257
8440,2013,16.4299355091587,19.5400834321976,21.8979677538718
8460,2013,15.3375968233712,19.3258166154226,23.772467736275
1646,2013,14.6853387153918,17.7805333296458,21.1276612897073
8944,2013,16.5009032098516,22.2804333051046,25.0252743074971
9063,2013,15.2874999277053,21.2307500362396,25.6694678337343
9367,2013,15.2874999277053,21.2307500362396,25.6694678337343
9470,2013,12.1793870716806,18.097833442688,20.8703708648682
5523,2013,12.4430806559901,18.5272666931152,22.0666129050716
10261,2013,13.3889355342234,19.466900062561,22.5053871831586
8607,2013,13.1780000384296,19.3164168039958,22.3284354056081
11612,2013,13.3440001052354,19.4325166543325,22.4912257502156
10542,2013,17.7592257761186,21.0564498742421,22.1667580143098
10787,2013,14.9208547713295,20.4278999646505,23.4684677124023
10871,2013,16.4816936254501,19.2962000489235,21.5271129300517
9083,2013,15.5947741818043,21.3943333307902,24.6579838260528
11155,2013,17.0559033114583,23.0522999763489,24.9606129277137
11154,2013,17.0423548223992,23.0356333096822,24.9503548837477
11313,2013,12.4735966872784,18.6846499840419,21.4368386960799
11624,2013,13.0333548780651,19.1812832514445,22.9254354353874
11526,2013,13.3614837796457,19.4678667068481,22.5142581078314
12079,2013,13.1780000384296,19.3164168039958,22.3284354056081
12318,2013,14.4018225996725,19.9770000139872,24.1429999566847
12249,2013,15.4325645123759,19.2486499468486,22.8665968679613
11605,2013,14.0278225541716,20.1158500035604,23.4577903286103
12709,2013,16.2367741061795,19.5739333868027,21.8434676970205
14902,2013,15.3923064431837,20.7357167243958,25.374129110767
16149,2013,14.6011935626307,20.2565999348958,24.8555000212885
10264,2013,14.6857742378789,20.3573498725891,24.7151289293843
16257,2013,15.8109032607848,21.3642333825429,25.235177440028
2596,2013,10.2553709432963,15.9290833341579,19.1226775184754
16337,2013,15.3498225519734,19.6792332967122,22.703145088688
16356,2013,12.8480161265019,18.9033999681473,21.8912742214818
16454,2013,15.293935389288,20.5758166472117,24.8785806163665
16616,2013,14.9337097060296,20.4904501120249,24.5634677179398
16657,2013,15.6503225031399,21.0774999300639,22.6067096494859
16508,2013,14.9635321488304,19.4045333544413,21.6376773465064
16707,2013,15.3652097234322,20.7878998915354,22.3958548576601
16637,2013,17.474241912365,22.7301667372386,24.5888548974068
16805,2013,14.9635321488304,19.4045333544413,21.6376773465064
16642,2013,17.474241912365,22.7301667372386,24.5888548974068
16417,2013,16.7296774002814,22.6903165817261,26.6618870458295
16873,2013,17.372112808689,22.6436666806539,24.489483833313
16874,2013,17.1741935341589,22.370183467865,24.2549839481231
12772,2013,13.3774193819732,18.2819333394369,22.190048263919
17020,2013,13.6724838162622,19.7011333147685,22.8046451230203
17038,2013,13.6724838162622,19.7011333147685,22.8046451230203
17101,2013,11.00377418221,16.8193332950274,20.300338668208
17100,2013,10.9288226123298,17.1181333283583,20.2503064524743
17207,2013,14.7973064972508,17.7786833763123,22.0328548800561
17076,2013,17.9884840250015,23.9102000554403,26.578322656693
17299,2013,15.7005483448025,21.4650166829427,24.7393063883628
17308,2013,18.8667097706949,23.37515001297,23.621096903278
17443,2013,17.2989032037797,23.2248499552409,25.9080001154254
11734,2013,15.5947741818043,21.3943333307902,24.6579838260528
17565,2013,17.223000056561,22.9568833033244,24.2695966843636
17603,2013,17.9268064229719,23.8829833030701,26.5442904503115
17615,2013,12.2605321945683,18.3074999809265,21.8834354339107
17574,2013,16.3954677043423,22.3775834878286,26.34353234691
17630,2013,17.9268064229719,23.8829833030701,26.5442904503115
16917,2013,17.474241912365,22.7301667372386,24.5888548974068
6,2013,16.2113225363916,19.4986333529154,23.5255321841086
17680,2013,13.4387257882664,19.3961501598358,22.4743063680587
10241,2013,12.2551774190318,17.9833332061768,21.6368709687264
459,2013,18.1359838526095,24.2237332661947,25.017854859752
10407,2013,16.9580967483982,20.286566678683,22.5809516291465
11309,2013,15.2928709368552,20.9080833594004,24.9335966725503
16639,2013,17.474241912365,22.7301667372386,24.5888548974068
16635,2013,17.6829355282168,22.9839833100637,24.8354514644992
6579,2013,16.1154032205382,19.3069999655088,21.9137419731386
17825,2013,15.583032228293,21.4280666510264,23.9928065730679
17873,2013,15.875951622763,22.1758333683014,25.6875966902702
17800,2013,14.6011935626307,20.2565999348958,24.8555000212885
18133,2013,15.875951622763,22.1758333683014,25.6875966902702
9589,2013,13.8483870022239,19.0589500506719,22.6775806180892
18158,2013,16.0587742270962,21.8515999794006,24.5905162134478
18236,2013,14.6011935626307,20.2565999348958,24.8555000212885
